ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Ccdc71l	-1	0	0	0	0	0
Ccdc73	-1	0	0	0	0	0
Ccdc88a	-1	0	0	0	0	0
Ccl11	-1	0	0	0	0	0
Ccl8	-1	0	0	0	0	0
Ccnd1	-1	0	0	0	0	0
Ccne1	-1	0	0	0	0	0
Ccser2	-1	0	0	0	0	0
Cd2ap	-1	0	0	0	0	0
Cd47	-1	0	0	0	0	0
Cdc23	-1	0	0	0	0	0
Cdc42bpa	-1	0	0	0	0	0
Cdc7	-1	0	0	0	0	0
Cdh2	-1	0	0	0	0	0
Cecr5	-1	0	0	0	0	0
Cep250	-1	0	0	0	0	0
Chac2	-1	0	0	0	0	0
Chrnd	-1	0	0	0	0	0
Chst11	-1	0	0	0	0	0
Chst14	-1	0	0	0	0	0
Chst15	-1	0	0	0	0	0
Ckap4	-1	0	0	0	0	0
Clcn5	-1	0	0	0	0	0
Cldnd1	-1	0	0	0	0	0
Cln6	-1	0	0	0	0	0
Cmah	-1	0	0	0	0	0
Cnot2	-1	0	0	0	0	0
Commd10	-1	0	0	0	0	0
Commd7	-1	0	0	0	0	0
Cpm	-1	0	0	0	0	0
Cradd	-1	0	0	0	0	0
Creb1	-1	0	0	0	0	0
Creb3l2	-1	0	0	0	0	0
Csf1	-1	0	0	0	0	0
Ctcfl	-1	0	0	0	0	0
Ctdp1	-1	0	0	0	0	0
Ctnna1	-1	0	0	0	0	0
Ctsb	-1	0	0	0	0	0
Cux1	-1	0	0	0	0	0
Cxcr4	-1	0	0	0	0	0
Cyp1b1	-1	0	0	0	0	0
Cyr61	-1	0	0	0	0	0
D15Ertd621e	-1	0	0	0	0	0
D16Ertd472e	-1	0	0	0	0	0
D19Bwg1357e	-1	0	0	0	0	0
Dab2	-1	0	0	0	0	0
Dact1	-1	0	0	0	0	0
Dad1	-1	0	0	0	0	0
Dazap2	-1	0	0	0	0	0
Dcbld2	-1	0	0	0	0	0
Dclk1	-1	0	0	0	0	0
Ddx31	-1	0	0	0	0	0
Dedd2	-1	0	0	0	0	0
Defb28	-1	0	0	0	0	0
Dennd1b	-1	0	0	0	0	0
Depdc1a	-1	0	0	0	0	0
Deptor	-1	0	0	0	0	0
Dhrs9	-1	0	0	0	0	0
Dhx40	-1	0	0	0	0	0
Dhx9	-1	0	0	0	0	0
Dis3l2	-1	0	0	0	0	0
Dkk2	-1	0	0	0	0	0
Dnajb4	-1	0	0	0	0	0
Dnajc10	-1	0	0	0	0	0
Dnajc15	-1	0	0	0	0	0
Dnmbp	-1	0	0	0	0	0
Dtwd1	-1	0	0	0	0	0
Dusp22	-1	0	0	0	0	0
Dusp4	-1	0	0	0	0	0
Dusp6	-1	0	0	0	0	0
Ebf1	-1	0	0	0	0	0
Ecsit	-1	0	0	0	0	0
Edn1	-1	0	0	0	0	0
Eea1	-1	0	0	0	0	0
Eed	-1	0	0	0	0	0
